Tipe,Konten,URL
Heading,Mahasiswa IT Del Melaju ke Tingkat Nasional pada Kompetisi Debat Mahasiswa Indonesia (KDMI) 2024,
Heading,Mahasiswa Teknik Elektro IT Del Berhasil Meraih Medali Emas Pada IDEA FEST 2024 Kategori Teknologi Pertanian,
Heading,Wisuda 398 Lulusan Institut Teknologi Del,
Heading,"IT Del Raih Peringkat 1 Nasional Computing Track, pada Huawei ICT Competition dan Akan Melaju untuk Tahap Regional Asia Pasifik",
Heading,"Rektor IT Menjadi Pembicara pada Pelatihan “Strategi Sukses Meningkatkan Hilirisasi, Penelitian, dan PkM”",
Heading,Pelatihan Bioanalyzer dan Onso di Lab genomik Fakultas Bioteknologi IT Del,
Heading,Kunjungan Pembina dan Afiliasi Yayasan Del ke TSTH2 IT Del,
Heading,Rapat Akhir Tahun Yayasan Del 2024,
Heading,"IT Del Raih Peringkat 1 Nasional Computing Track, pada Huawei ICT Competition dan Akan Melaju untuk Tahap Regional Asia Pasifik",
Heading,"Rektor IT Menjadi Pembicara pada Pelatihan “Strategi Sukses Meningkatkan Hilirisasi, Penelitian, dan PkM”",
Heading,Pelatihan Bioanalyzer dan Onso di Lab genomik Fakultas Bioteknologi IT Del,
Heading,"IT Del Raih Peringkat 1 Nasional Computing Track, pada Huawei ICT Competition dan Akan Melaju untuk Tahap Regional Asia Pasifik",
Heading,"Rektor IT Menjadi Pembicara pada Pelatihan “Strategi Sukses Meningkatkan Hilirisasi, Penelitian, dan PkM”",
Heading,Pelatihan Bioanalyzer dan Onso di Lab genomik Fakultas Bioteknologi IT Del,
Heading,Informasi PMB Jalur Sertifikat Ujian Tulis Berbasis Komputer (Sertifikat UTBK) 2023/2024 & Jadwal Pelaksanaan Kegiatan,
Heading,Prosedur Pelaksanaan Tes Akademik  Jalur USM3 IT Del Tahun Akademik 2023/2024,
Heading,Informasi PMB Jalur Ujian Saring Masuk 3 (USM 3) 2023 & Jadwal Pelaksanaan Kegiatan,
Link,,https://www.del.ac.id
Link,,http://www.del.ac.id
Link,,https://www.del.ac.id/?page_id=1006
Link,,https://www.del.ac.id/?page_id=109
Link,,https://www.del.ac.id/?page_id=613
Link,,http://www.del.ac.id
Link,,#
Link,,#
Link,,#
Link,,#
Link,,#
Link,,#
Link,,https://www.del.ac.id/?page_id=14109
Link,,mailto:info@del.ac.id
Link,,https://www.facebook.com/Institut.Teknologi.Del?fref=ts
Link,,https://www.youtube.com/channel/UCyzrsLKGZPQFGHIDfN53koQ
Link,,https://www.del.ac.id/?feed=rss2
Link,,#
Link,,http://www.del.ac.id
Link,,https://www.del.ac.id/?page_id=1006
Link,,https://www.del.ac.id/?page_id=602
Link,,https://www.del.ac.id/?page_id=30
Link,,https://www.del.ac.id/?page_id=719
Link,,https://www.del.ac.id/?page_id=33
Link,,https://www.del.ac.id/?page_id=216
Link,,https://www.del.ac.id/?page_id=583
Link,,https://www.del.ac.id/?page_id=10318
Link,,https://www.del.ac.id/?page_id=10324
Link,,https://www.del.ac.id/?page_id=10328
Link,,https://www.del.ac.id/?page_id=6021
Link,,https://www.del.ac.id/?cat=18
Link,,https://www.del.ac.id/?page_id=600
Link,,https://heyzine.com/flip-book/9d436796f0.html
Link,,https://www.del.ac.id/?page_id=13329
Link,,https://www.del.ac.id/?page_id=109
Link,,https://www.del.ac.id/?page_id=3348
Link,,https://www.del.ac.id/?page_id=13440
Link,,?page_id=1790
Link,,https://www.del.ac.id/?page_id=1789
Link,,https://www.del.ac.id/?page_id=43
Link,,http://apipuro.del.ac.id/v1/file/d1a855150835fb906c4dd6d233d270e3
Link,,https://www.del.ac.id/?page_id=14564
Link,,https://www.del.ac.id/?page_id=48
Link,,https://www.del.ac.id/?page_id=46
Link,,https://www.del.ac.id/?page_id=613
Link,,?page_id=1666
Link,,http://www.del.ac.id
Link,,?page_id=896
Link,,http://www.del.ac.id
Link,,https://www.del.ac.id/?page_id=11359
Link,,https://www.del.ac.id/?page_id=11874
Link,,https://www.del.ac.id/?page_id=11362
Link,,https://www.del.ac.id/?page_id=11877
Link,,https://www.del.ac.id/?page_id=11367
Link,,https://www.del.ac.id/?page_id=12684
Link,,https://www.del.ac.id/?page_id=12739
Link,,https://www.del.ac.id/?page_id=11381
Link,,https://www.del.ac.id/?page_id=6800
Link,,https://www.del.ac.id/?page_id=12614
Link,,https://www.del.ac.id/?page_id=6809
Link,,https://www.del.ac.id/?page_id=5726
Link,,https://www.del.ac.id/?page_id=5758
Link,,https://www.del.ac.id/?page_id=5761
Link,,https://www.del.ac.id/?page_id=5763
Link,,https://www.del.ac.id/?page_id=5765
Link,,https://www.del.ac.id/?page_id=9174
Link,,https://www.del.ac.id/?page_id=10373
Link,,https://www.del.ac.id/?page_id=11957
Link,,https://www.del.ac.id/?page_id=5728
Link,,https://www.del.ac.id/?page_id=5772
Link,,https://www.del.ac.id/?page_id=5774
Link,,https://www.del.ac.id/?page_id=5776
Link,,https://www.del.ac.id/?page_id=5778
Link,,https://www.del.ac.id/?page_id=5780
Link,,https://www.del.ac.id/?page_id=7580
Link,,https://www.del.ac.id/?page_id=9585
Link,,https://www.del.ac.id/?page_id=10933
Link,,https://www.del.ac.id/?page_id=11867
Link,,https://www.del.ac.id/?page_id=15547
Link,,https://www.del.ac.id/?page_id=15580
Link,,https://www.del.ac.id/?page_id=8550
Link,,https://www.del.ac.id/?page_id=12750
Link,,#
Link,,https://www.del.ac.id/?page_id=128
Link,,https://www.del.ac.id/?page_id=7334
Link,,https://www.del.ac.id/?page_id=8743
Link,,https://www.del.ac.id/?page_id=11117
Link,,https://www.del.ac.id/?page_id=11121
Link,,https://www.del.ac.id/?page_id=11128
Link,,https://www.del.ac.id/?page_id=11140
Link,,https://www.del.ac.id/?page_id=11144
Link,,https://www.del.ac.id/?page_id=11201
Link,,https://www.del.ac.id/?page_id=130
Link,,https://www.del.ac.id/?page_id=7167
Link,,https://www.del.ac.id/?page_id=7191
Link,,https://www.del.ac.id/?page_id=9649
Link,,https://www.del.ac.id/?page_id=9858
Link,,https://www.del.ac.id/?page_id=9861
Link,,https://www.del.ac.id/?page_id=9929
Link,,https://www.del.ac.id/?page_id=9993
Link,,https://www.del.ac.id/?page_id=9995
Link,,https://www.del.ac.id/?page_id=9997
Link,,https://www.del.ac.id/?page_id=9999
Link,,https://www.del.ac.id/?page_id=758
Link,,https://www.del.ac.id/?page_id=760
Link,,#
Link,,https://www.del.ac.id/?page_id=140
Link,,https://www.del.ac.id/?page_id=142
Link,,https://www.del.ac.id/?page_id=144
Link,,https://www.del.ac.id/?page_id=146
Link,,https://www.del.ac.id/?page_id=616
Link,,https://www.del.ac.id/?page_id=618
Link,,https://www.del.ac.id/?page_id=622
Link,,#
Link,,https://www.del.ac.id/?page_id=134
Link,,https://www.del.ac.id/?page_id=136
Link,,https://www.del.ac.id/?page_id=629
Link,,#
Link,,https://www.del.ac.id/?page_id=7511
Link,,#
Link,,http://spmb.del.ac.id/
Link,,https://cis.del.ac.id/
Link,,https://ecourse.del.ac.id/login/index.php
Link,,https://sipp.del.ac.id/
Link,,http://pemilihanrektor.del.ac.id:8000/
Link,,https://www.del.ac.id/?page_id=9861
Link,,#
Link,,https://www.del.ac.id/?page_id=13215
Link,,https://www.del.ac.id/?page_id=13151
Link,,https://www.del.ac.id/?page_id=13154
Link,,https://www.del.ac.id/?page_id=13160
Link,,https://www.del.ac.id/?page_id=14109
Link,,http://www.del.ac.id/wp-content/uploads/2022/09/CFTN-Guidebook.pdf
Link,,https://forms.gle/fxh4fwjq8WhMGf9b9
Link,,https://giving.del.ac.id
Link,,/?page_id=38
Link,,/?page_id=218
Link,,/?page_id=36
Link,,/?page_id=1347
Link,,/?page_id=11411
Link,,https://cis.del.ac.id
Link,,https://sipp.del.ac.id
Link,,https://alumni.del.ac.id
Link,,https://www.del.ac.id/?p=15895
