Teks,URL
Halaman Utama,/wiki/Halaman_Utama
Daftar isi,/wiki/Wikipedia:Isi
Perubahan terbaru,/wiki/Istimewa:Perubahan_terbaru
Artikel pilihan,/wiki/Wikipedia:Artikel_pilihan/Topik
Peristiwa terkini,/wiki/Portal:Peristiwa_terkini
Halaman baru,/wiki/Istimewa:Halaman_baru
Halaman sembarang,/wiki/Istimewa:Halaman_sembarang
Warung Kopi,/wiki/Wikipedia:Warung_Kopi
Portal komunitas,/wiki/Portal:Komunitas
Bantuan,/wiki/Bantuan:Isi
Tentang Wikipedia,/wiki/Wikipedia:Perihal
Pancapilar,/wiki/Wikipedia:Pancapilar
Kebijakan,/wiki/Wikipedia:Kebijakan_dan_pedoman
Hubungi kami,/wiki/Wikipedia:Hubungi_kami
Bak pasir,/wiki/Wikipedia:Bak_pasir
,/wiki/Halaman_Utama
Pencarian,/wiki/Istimewa:Pencarian
Menyumbang,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=id.wikipedia.org&uselang=id
Menyumbang,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=id.wikipedia.org&uselang=id
pelajari lebih lanjut,/wiki/Bantuan:Pengantar
Kontribusi,/wiki/Istimewa:Kontribusi_saya
Pembicaraan,/wiki/Istimewa:Pembicaraan_saya
Tambah pranala,https://www.wikidata.org/wiki/Special:EntityPage/Q12506016#sitelinks-wikipedia
Halaman,/wiki/Institut_Teknologi_Del
Pembicaraan,/wiki/Pembicaraan:Institut_Teknologi_Del
Baca,/wiki/Institut_Teknologi_Del
Baca,/wiki/Institut_Teknologi_Del
Pranala balik,/wiki/Istimewa:Pranala_balik/Institut_Teknologi_Del
Perubahan terkait,/wiki/Istimewa:Perubahan_terkait/Institut_Teknologi_Del
Halaman istimewa,/wiki/Istimewa:Halaman_istimewa
Butir di Wikidata,https://www.wikidata.org/wiki/Special:EntityPage/Q12506016
,/wiki/Berkas:Question_book-new.svg
referensi,/wiki/Wikipedia:Kutip_sumber_tulisan
sumber tepercaya,/wiki/Wikipedia:Sumber_tepercaya
dipastikan,/wiki/Wikipedia:Pemastian
perbaiki artikel ini,https://id.wikipedia.org/w/index.php?title=Institut_Teknologi_Del&action=edit
JSTOR,http://www.jstor.org/action/doBasicSearch?Query=%22Institut+Teknologi+Del%22&acc=on&wc=on
,/wiki/Berkas:VisualEditor_icon_ref-cite-book-invert.svg
,/wiki/Berkas:Del_Institute_of_Technology_Logo.png
Luhut Binsar Panjaitan,/wiki/Luhut_Binsar_Panjaitan
Ketua,/wiki/Ketua
Rektor,/wiki/Rektor
Toba,/wiki/Kabupaten_Toba
Sumatera Utara,/wiki/Sumatera_Utara
Indonesia,/wiki/Indonesia
Nama julukan,/wiki/Nama_julukan_atletik
del.ac.id,https://www.del.ac.id/
,http://www.facebook.com/Institut.Teknologi.Del
,https://www.instagram.com/it.del
,https://www.wikidata.org/wiki/Q12506016#identifiers
Perguruan Tinggi Swasta,/wiki/Perguruan_Tinggi_Swasta
desa Sitoluama,"/wiki/Sitoluama,_Laguboti,_Toba"
kecamatan Laguboti,"/wiki/Laguboti,_Toba"
Kabupaten Toba,/wiki/Kabupaten_Toba
Sumatera Utara,/wiki/Sumatera_Utara
Indonesia,/wiki/Indonesia
Luhut Binsar Panjaitan,/wiki/Luhut_Binsar_Panjaitan
Danau Toba,/wiki/Danau_Toba
Medan,/wiki/Medan
Balige,/wiki/Balige
,/wiki/Berkas:Plaza_IT_Del.jpg
Jabodetabek,/wiki/Jabodetabek
Sumatera Utara,/wiki/Sumatera_Utara
Batam,/wiki/Batam
,/wiki/Berkas:IT_Del_Drone2.jpg
,/wiki/Berkas:Plaza_IT_Del.jpg
Situs resmi,http://www.del.ac.id/
Web Akademik,https://cis.del.ac.id/user/login
Web Mail,http://mail.del.ac.id/
SPMB,http://spmb.del.ac.id/
Ikatan Alumni Del,http://iadel.or.id/
Diarsipkan,https://web.archive.org/web/20200710033344/http://iadel.or.id/
Wayback Machine,/wiki/Wayback_Machine
IT Del  on facebook,https://www.facebook.com/Institut.Teknologi.Del/
IT Del on Instagram,https://www.instagram.com/it.del/
Pelantikan Rektor IT DEL,http://www.del.ac.id/?p=5017
PDDikti Kemendikbudristek pada Institut Teknologi Del,https://pddikti.kemdikbud.go.id/detail-pt/KK6UuA-ddvw-Ck9L2ZUYfVwLjFiC0bdefC1oD4IjJ8fnMKXp8ZWnXw2DLWjB9G-ORTZibQ==
l,/wiki/Templat:PTS_di_Indonesia
s,https://id.wikipedia.org/w/index.php?title=Templat:PTS_di_Indonesia&action=edit
,/wiki/Berkas:Logo_of_Ministry_of_Education_and_Culture_of_Republic_of_Indonesia.svg
Daftar,/wiki/Daftar_perguruan_tinggi_swasta_di_Indonesia
perguruan tinggi,/wiki/Perguruan_tinggi
Indonesia,/wiki/Indonesia
provinsi,/wiki/Daftar_provinsi_Indonesia
Sumatra,/wiki/Sumatra
Aceh,/wiki/Daftar_perguruan_tinggi_swasta_di_Aceh
Bengkulu,/wiki/Daftar_perguruan_tinggi_swasta_di_Bengkulu
Jambi,/wiki/Daftar_perguruan_tinggi_swasta_di_Jambi
Kepulauan Riau,/wiki/Daftar_perguruan_tinggi_swasta_di_Kepulauan_Riau
Kepulauan Bangka Belitung,/wiki/Daftar_perguruan_tinggi_swasta_di_Kepulauan_Bangka_Belitung
Lampung,/wiki/Daftar_perguruan_tinggi_swasta_di_Lampung
Riau,/wiki/Daftar_perguruan_tinggi_swasta_di_Riau
Sumatera Barat,/wiki/Daftar_perguruan_tinggi_swasta_di_Sumatera_Barat
Sumatera Selatan,/wiki/Daftar_perguruan_tinggi_swasta_di_Sumatera_Selatan
Sumatera Utara,/wiki/Daftar_perguruan_tinggi_swasta_di_Sumatera_Utara
Jawa,/wiki/Jawa
Banten,/wiki/Daftar_perguruan_tinggi_swasta_di_Banten
Jakarta,/wiki/Daftar_perguruan_tinggi_swasta_di_Daerah_Khusus_Ibukota_Jakarta
Jawa Barat,/wiki/Daftar_perguruan_tinggi_swasta_di_Jawa_Barat
Jawa Tengah,/wiki/Daftar_perguruan_tinggi_swasta_di_Jawa_Tengah
Jawa Timur,/wiki/Daftar_perguruan_tinggi_swasta_di_Jawa_Timur
Nusa Tenggara,/wiki/Kepulauan_Nusa_Tenggara
Bali,/wiki/Daftar_perguruan_tinggi_swasta_di_Bali
Nusa Tenggara Barat,/wiki/Daftar_perguruan_tinggi_swasta_di_Nusa_Tenggara_Barat
Nusa Tenggara Timur,/wiki/Daftar_perguruan_tinggi_swasta_di_Nusa_Tenggara_Timur
Kalimantan,/wiki/Kalimantan_(wilayah_Indonesia)
Kalimantan Barat,/wiki/Daftar_perguruan_tinggi_swasta_di_Kalimantan_Barat
Kalimantan Selatan,/wiki/Daftar_perguruan_tinggi_swasta_di_Kalimantan_Selatan
Kalimantan Tengah,/wiki/Daftar_perguruan_tinggi_swasta_di_Kalimantan_Tengah
Kalimantan Timur,/wiki/Daftar_perguruan_tinggi_swasta_di_Kalimantan_Timur
Kalimantan Utara,/wiki/Daftar_perguruan_tinggi_swasta_di_Kalimantan_Utara
Sulawesi,/wiki/Sulawesi
Gorontalo,/wiki/Daftar_perguruan_tinggi_swasta_di_Gorontalo
Sulawesi Barat,/wiki/Daftar_perguruan_tinggi_swasta_di_Sulawesi_Barat
Sulawesi Selatan,/wiki/Daftar_perguruan_tinggi_swasta_di_Sulawesi_Selatan
Sulawesi Tengah,/wiki/Daftar_perguruan_tinggi_swasta_di_Sulawesi_Tengah
Sulawesi Tenggara,/wiki/Daftar_perguruan_tinggi_swasta_di_Sulawesi_Tenggara
Sulawesi Utara,/wiki/Daftar_perguruan_tinggi_swasta_di_Sulawesi_Utara
Maluku,/wiki/Kepulauan_Maluku
Maluku,/wiki/Daftar_perguruan_tinggi_swasta_di_Maluku
Maluku Utara,/wiki/Daftar_perguruan_tinggi_swasta_di_Maluku_Utara
Papua,/wiki/Papua_(wilayah_Indonesia)
Papua,/wiki/Daftar_perguruan_tinggi_swasta_di_Papua
Papua Barat,/wiki/Daftar_perguruan_tinggi_swasta_di_Papua_Barat
Papua Barat Daya,/wiki/Daftar_perguruan_tinggi_swasta_di_Papua_Barat_Daya
Papua Pegunungan,/wiki/Daftar_perguruan_tinggi_swasta_di_Papua_Pegunungan
Papua Selatan,/wiki/Daftar_perguruan_tinggi_swasta_di_Papua_Selatan
Papua Tengah,/wiki/Daftar_perguruan_tinggi_swasta_di_Papua_Tengah
PTN,/wiki/Daftar_perguruan_tinggi_negeri_di_Indonesia
PTN Islam,/wiki/Daftar_perguruan_tinggi_Islam_negeri_di_Indonesia
PTS Islam,/wiki/Daftar_perguruan_tinggi_Islam_swasta_di_Indonesia
PTK,/wiki/Daftar_perguruan_tinggi_kedinasan_di_Indonesia
l,/wiki/Templat:Perguruan_tinggi_di_Sumatera_Utara
s,https://id.wikipedia.org/w/index.php?title=Templat:Perguruan_tinggi_di_Sumatera_Utara&action=edit
Sumatera Utara,/wiki/Sumatera_Utara
Kabupaten Karo,/wiki/Kabupaten_Karo
Universitas Quality Berastagi,/wiki/Universitas_Quality_Berastagi
Kabupaten  Tapanuli Utara,/wiki/Kabupaten_Tapanuli_Utara
Institut Agama Kristen Negeri Tarutung,/wiki/Institut_Agama_Kristen_Negeri_Tarutung
UNITA,/wiki/Universitas_Sisingamangaraja_XII_Tapanuli_Utara
STGH Seminarium Sipoholon,/wiki/Sekolah_Tinggi_Guru_Huria_HKBP_Seminarium_Sipoholon
AKPER Tarutung Pemkab. Taput,/wiki/Akademi_Keperawatan_Tarutung_Pemerintah_Kabupaten_Tapanuli_Utara
Kabupaten  Deli Serdang,/wiki/Kabupaten_Deli_Serdang
Kabupaten  Toba,/wiki/Kabupaten_Toba
AKPER HKBP Balige,/wiki/Akademi_Keperawatan_HKBP_Balige
STB HKBP Laguboti,/wiki/Sekolah_Tinggi_Bibelvrouw_HKBP_Laguboti
Kota Pematangsiantar,/wiki/Kota_Pematangsiantar
Universitas Simalungun,/wiki/Universitas_Simalungun
UHN,/wiki/Universitas_HKBP_Nommensen
Kota Medan,/wiki/Kota_Medan
USU,/wiki/Universitas_Sumatera_Utara
UNM,/wiki/Universitas_Negeri_Medan
UINS,/wiki/Universitas_Islam_Negeri_Sumatera_Utara
PNM,/wiki/Politeknik_Negeri_Medan
UAAM,/wiki/Universitas_Al_Azhar_Medan
UNIVA,/wiki/Universitas_Al_Washliyah
UBD,/wiki/Universitas_Budidarma_Medan
UDA,/wiki/Universitas_Darma_Agung
UD,/wiki/Universitas_Dharmawangsa
UHN,/wiki/Universitas_HKBP_Nommensen
UTND,/wiki/Universitas_Tjut_Nyak_Dhien
Kota Padang Sidempuan,/wiki/Kota_Padang_Sidempuan
UINSA,/wiki/Universitas_Islam_Negeri_Syekh_Ali_Hasan_Ahmad_Addary_Padangsidimpuan
Negeri,/wiki/Daftar_perguruan_tinggi_negeri_di_Indonesia
swasta,/wiki/Daftar_perguruan_tinggi_swasta_di_Sumatera_Utara
Indonesia,/wiki/Daftar_perguruan_tinggi_di_Indonesia
,/wiki/Berkas:Uni-ico.svg
rintisan,/wiki/Wikipedia:Rintisan
mengembangkannya,https://id.wikipedia.org/w/index.php?title=Institut_Teknologi_Del&action=edit
l,/wiki/Templat:Universitas-stub
s,https://id.wikipedia.org/w/index.php?title=Templat:Universitas-stub&action=edit
https://id.wikipedia.org/w/index.php?title=Institut_Teknologi_Del&oldid=26631537,https://id.wikipedia.org/w/index.php?title=Institut_Teknologi_Del&oldid=26631537
Kategori,/wiki/Istimewa:Daftar_kategori
Perguruan tinggi di Indonesia,/wiki/Kategori:Perguruan_tinggi_di_Indonesia
Perguruan tinggi swasta di Indonesia,/wiki/Kategori:Perguruan_tinggi_swasta_di_Indonesia
Perguruan tinggi di Sumatera Utara,/wiki/Kategori:Perguruan_tinggi_di_Sumatera_Utara
Perguruan tinggi swasta di Sumatera Utara,/wiki/Kategori:Perguruan_tinggi_swasta_di_Sumatera_Utara
Pendirian tahun 2001 di Indonesia,/wiki/Kategori:Pendirian_tahun_2001_di_Indonesia
"Balige, Toba","/wiki/Kategori:Balige,_Toba"
Halaman dengan properti yang belum terselesaikan,/wiki/Kategori:Halaman_dengan_properti_yang_belum_terselesaikan
Artikel yang tidak memiliki referensi Desember 2024,/wiki/Kategori:Artikel_yang_tidak_memiliki_referensi_Desember_2024
Mapframe Infobox tanpa hubungan OSM di Wikidata,/wiki/Kategori:Mapframe_Infobox_tanpa_hubungan_OSM_di_Wikidata
Artikel mengandung aksara non-Indonesia,/wiki/Kategori:Artikel_mengandung_aksara_non-Indonesia
Pages using infobox university with unknown parameters,/wiki/Kategori:Pages_using_infobox_university_with_unknown_parameters
Templat webarchive tautan wayback,/wiki/Kategori:Templat_webarchive_tautan_wayback
Semua artikel rintisan,/wiki/Kategori:Semua_artikel_rintisan
Rintisan bertopik perguruan tinggi,/wiki/Kategori:Rintisan_bertopik_perguruan_tinggi
Semua artikel rintisan Desember 2024,/wiki/Kategori:Semua_artikel_rintisan_Desember_2024
Halaman yang menggunakan ekstensi Kartographer,/wiki/Kategori:Halaman_yang_menggunakan_ekstensi_Kartographer
Lisensi Atribusi-BerbagiSerupa Creative Commons,https://creativecommons.org/licenses/by-sa/4.0/deed.en
Ketentuan Penggunaan,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Terms_of_Use
Kebijakan privasi,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy
Tentang Wikipedia,/wiki/Wikipedia:Tentang
Penyangkalan,/wiki/Wikipedia:Penyangkalan_umum
Kode Etik,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Universal_Code_of_Conduct
Pengembang,https://developer.wikimedia.org
Statistik,https://stats.wikimedia.org/#/id.wikipedia.org
Pernyataan kuki,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Cookie_statement
,https://wikimediafoundation.org/
,https://www.mediawiki.org/
